Canonical Pathways;e01=IOX.3/C;e02=T4IOX.3/T4;e03=T4IOX.3A5/T4A5;e04=IOX1/C;e05=T4IOX1/T4;e06=T4/C;e07=T4IOX.3/IOX.3;e08=T4IOX1/IOX1;e09=T4IOX.3/C;e10=T4IOX1/C;e11=T4A5/T4;e12=T4IOX.3A5/T4IOX.3;e13=T4IOX.3A5/T4;e14=T4A5/C;e15=T4IOX.3A5/IOX.3;e16=T4IOX.3A5/C
NR1D1 (REV-ERBA) represses gene expression;0,00;0,00;0,00;0,00;2,02;1,22;1,13;1,02;1,12;1,03;0,00;0,23;0,23;0,00;0,72;0,64
Th1 Pathway;0,00;0,65;0,00;0,37;2,31;0,91;0,95;0,88;0,94;1,55;1,06;0,00;0,32;0,49;0,00;0,00
nNOS Signaling in Neurons;0,00;0,00;0,00;0,00;1,93;0,88;0,46;0,97;0,68;1,32;0,65;0,31;0,70;0,00;0,00;0,00
Growth hormone receptor signaling;0,00;0,80;0,53;0,00;0,59;1,41;2,24;0,63;1,68;0,65;1,63;1,41;1,09;0,49;0,45;0,00
FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes;0,00;0,71;0,41;0,00;0,46;1,90;1,63;0,39;1,62;0,41;1,15;0,87;0,26;1,08;0,00;0,00
Phosphatidylethanolamine Biosynthesis II;0,00;0,00;1,23;0,00;0,50;1,95;1,07;0,00;1,78;0,45;1,75;1,05;0,60;0,00;0,42;0,35
Eicosanoid Signaling;0,00;0,00;0,00;0,00;1,18;2,14;1,71;1,01;1,70;1,05;1,32;0,80;0,54;0,00;0,54;0,82
Spermine and Spermidine Degradation I;0,00;0,00;0,77;0,00;0,81;2,33;1,13;1,02;1,12;1,03;2,16;1,55;0,76;0,00;0,72;0,64
Nicotinate metabolism;0,00;0,00;0,71;0,00;0,78;1,42;1,23;1,03;1,23;0,65;1,74;1,27;1,33;0,60;0,63;1,00
Serotonin Degradation;0,00;0,00;0,00;0,00;0,00;0,58;0,77;0,51;0,57;0,26;1,48;1,29;0,76;0,95;0,76;0,75
Tumoricidal Function of Hepatic Natural Killer Cells;0,00;0,00;0,00;0,00;0,20;0,95;1,20;0,98;1,20;0,65;0,77;1,41;1,49;1,25;0,45;0,34
Thioredoxin Pathway;0,00;0,00;0,00;0,00;0,60;0,77;1,37;0,60;0,69;0,61;0,67;1,46;0,85;0,00;0,51;0,44
Serine biosynthesis;0,00;0,00;0,00;0,00;0,00;1,33;1,20;1,06;1,20;0,52;0,58;1,96;1,28;0,00;0,46;1,06
TBC/RABGAPs;0,00;0,00;0,00;0,00;0,00;0,47;1,85;0,59;1,10;0,61;1,39;0,58;0,30;0,00;0,00;0,00
Arsenate Detoxification I (Glutaredoxin);0,00;0,00;0,69;0,00;0,00;1,03;1,83;0,84;0,94;0,85;0,92;1,22;0,18;0,00;0,00;0,00
FOXO-mediated transcription of cell death genes;0,00;0,00;0,28;0,00;0,00;1,06;1,44;0,77;1,43;0,42;0,49;1,07;0,41;0,00;0,24;0,00
Transcriptional regulation of pluripotent stem cells;0,00;0,00;0,00;0,00;0,29;0,98;1,33;0,70;1,33;0,71;0,82;0,60;0,36;0,62;0,23;0,00
Glutamate binding, activation of AMPA receptors and synaptic plasticity;0,00;0,00;0,00;0,00;0,42;1,73;1,07;0,84;1,46;1,21;1,41;1,74;0,55;0,00;0,31;0,00
Melatonin Degradation II;0,00;0,00;0,00;0,00;0,81;1,22;1,13;1,02;1,12;1,03;1,11;1,55;0,76;0,00;0,00;0,00
Cysteine Biosynthesis/Homocysteine Degradation;0,00;0,00;0,00;0,00;0,00;1,93;0,64;1,72;0,64;1,73;1,81;1,39;1,41;0,00;0,00;0,00
Ceramide Biosynthesis;0,00;0,00;0,00;0,00;0,00;1,50;1,37;1,22;1,36;1,24;1,34;1,46;1,51;0,00;0,00;0,00
Acetate Conversion to Acetyl-CoA;0,00;0,00;0,00;0,00;0,00;1,03;0,94;1,67;0,94;0,85;1,80;1,22;1,26;0,00;0,00;0,00
TYSND1 cleaves peroxisomal proteins;0,00;0,00;0,00;0,00;0,60;0,77;1,37;1,22;0,69;2,07;1,34;1,46;0,85;0,00;0,00;0,44
Tryptophan Degradation to 2-amino-3-carboxymuconate Semialdehyde;0,00;0,00;0,00;0,00;0,65;0,30;1,57;1,42;0,80;1,43;0,78;0,99;0,47;0,00;0,00;0,00
NAD biosynthesis II (from tryptophan);0,00;0,00;0,00;0,00;0,38;0,80;1,83;1,60;1,20;1,63;1,17;0,99;0,62;0,00;0,30;0,00
PI3K Cascade;0,00;0,56;0,00;0,00;0,27;0,71;0,80;1,47;0,80;1,16;1,78;0,79;1,42;0,29;0,72;0,52
Histamine Degradation;0,00;0,00;0,00;0,00;0,23;0,73;0,99;1,22;1,46;1,25;1,42;1,34;0,66;0,54;0,53;0,41
Serine Biosynthesis;0,00;0,00;0,00;0,00;0,00;1,48;1,39;1,28;1,39;1,29;1,37;0,97;1,00;0,00;0,83;0,75
Formation of lateral plate mesoderm;0,00;0,00;0,00;0,00;0,00;1,03;0,94;1,67;0,94;1,69;0,92;0,57;0,59;0,00;0,63;0,56
Neurovascular Coupling Signaling Pathway;0,00;0,30;0,00;0,00;0,00;1,75;0,98;0,41;1,64;1,02;2,10;0,85;0,60;0,29;0,00;0,67
Salvage Pathways of Pyrimidine Deoxyribonucleotides;0,00;0,00;0,47;0,00;0,00;1,95;1,07;0,93;1,06;0,95;1,75;0,57;1,09;0,00;0,00;0,00
Selenocysteine Biosynthesis II (Archaea and Eukaryotes);0,00;0,00;0,00;0,00;0,65;1,70;0,80;0,71;1,57;0,72;1,54;0,46;0,47;0,00;0,00;0,00
Airway Inflammation in Asthma;0,00;0,00;0,00;0,00;0,41;0,85;1,01;1,11;1,01;1,15;2,27;0,68;0,73;1,01;0,00;0,00
Activation of Matrix Metalloproteinases;0,00;0,00;0,00;0,00;0,41;1,22;1,01;1,11;1,01;0,54;1,78;0,95;0,73;1,01;0,29;0,00
Vitamin D (calciferol) metabolism;0,00;0,00;0,00;0,00;1,08;0,87;0,77;0,29;1,31;0,66;1,96;0,35;0,37;0,75;0,33;0,27
Bile Acid Biosynthesis, Neutral Pathway;0,00;0,00;0,28;0,00;0,86;1,06;1,44;0,77;1,43;1,25;1,40;0,39;0,72;0,64;0,71;0,00
D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis;0,00;0,00;0,00;0,00;1,05;0,84;0,69;0,31;1,50;0,32;1,45;1,20;0,92;0,00;0,00;0,31
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes;0,00;0,00;0,38;0,00;1,41;1,34;0,78;0,50;1,47;0,87;0,92;0,59;1,21;0,00;0,00;0,00
Trafficking and processing of endosomal TLR;0,00;0,00;0,00;0,00;1,01;0,80;0,69;1,03;1,20;1,05;1,17;0,99;1,56;0,00;0,00;0,00
Regulation of NFE2L2 gene expression;0,00;0,00;0,00;0,00;0,93;0,54;0,49;1,28;1,39;1,29;1,37;0,97;1,00;0,00;0,00;0,00
Reelin signalling pathway;0,00;0,00;0,00;0,00;0,72;1,03;0,94;0,84;0,94;0,85;1,80;0,57;1,26;0,00;0,00;0,00
Notch Signaling;0,00;0,00;0,00;0,00;0,69;0,95;0,77;0,36;1,08;1,18;1,81;0,89;0,96;0,34;0,23;0,36
